列车,起始站,到起始站时间,发车时间,到达站,出到达站时间,到达时间
G1024,上海南,08:15:17,08:15:20,松江站,08:15:30,08:15:30
G1024,松江站,08:15:30,08:15:33,花桥,08:15:46,08:15:43
G1025,上海南,08:15:57,08:16:00,花桥,08:16:13,08:16:10
G1026,上海南,08:16:37,08:16:40,松江站,08:16:50,08:16:50
G1026,松江站,08:16:50,08:16:53,花桥,08:17:06,08:17:03
G1027,上海南,08:17:17,08:17:20,花桥,08:17:33,08:17:30
G1028,上海南,08:17:57,08:18:00,松江站,08:18:10,08:18:10
G1028,松江站,08:18:10,08:18:13,花桥,08:18:26,08:18:23
G1029,上海南,08:18:37,08:18:40,花桥,08:18:53,08:18:50
G1030,上海南,08:19:17,08:19:20,松江站,08:19:30,08:19:30
G1030,松江站,08:19:30,08:19:33,花桥,08:19:46,08:19:43
G1031,上海南,08:19:57,08:20:00,花桥,08:20:13,08:20:10
G1032,上海南,08:20:37,08:20:40,松江站,08:20:50,08:20:50
G1032,松江站,08:20:50,08:20:53,花桥,08:21:06,08:21:03
G1033,上海南,08:21:17,08:21:20,花桥,08:21:33,08:21:30
G1034,上海南,08:21:57,08:22:00,松江站,08:22:10,08:22:10
G1034,松江站,08:22:10,08:22:13,花桥,08:22:26,08:22:23
G1035,上海南,08:22:37,08:22:40,花桥,08:22:53,08:22:50
G1036,上海南,08:23:17,08:23:20,松江站,08:23:30,08:23:30
G1036,松江站,08:23:30,08:23:33,花桥,08:23:46,08:23:43
G1037,上海南,08:23:57,08:24:00,花桥,08:24:13,08:24:10
G1038,上海南,08:24:37,08:24:40,松江站,08:24:50,08:24:50
G1038,松江站,08:24:50,08:24:53,花桥,08:25:06,08:25:03
G1039,上海南,08:25:17,08:25:20,花桥,08:25:33,08:25:30
G1040,上海南,08:25:57,08:26:00,松江站,08:26:10,08:26:10
G1040,松江站,08:26:10,08:26:13,花桥,08:26:26,08:26:23
G1041,上海南,08:26:37,08:26:40,花桥,08:26:53,08:26:50
G1042,上海南,08:27:17,08:27:20,松江站,08:27:30,08:27:30
G1042,松江站,08:27:30,08:27:33,花桥,08:27:46,08:27:43
G1043,上海南,08:27:57,08:28:00,花桥,08:28:13,08:28:10
G1044,上海南,08:28:37,08:28:40,松江站,08:28:50,08:28:50
G1044,松江站,08:28:50,08:28:53,花桥,08:29:06,08:29:03
G1045,上海南,08:29:17,08:29:20,花桥,08:29:33,08:29:30
G1046,上海南,08:29:57,08:30:00,松江站,08:30:10,08:30:10
G1046,松江站,08:30:10,08:30:13,花桥,08:30:26,08:30:23
G1047,上海南,08:30:37,08:30:40,花桥,08:30:53,08:30:50
G1048,上海南,08:31:17,08:31:20,松江站,08:31:30,08:31:30
G1048,松江站,08:31:30,08:31:33,花桥,08:31:46,08:31:43
G1049,上海南,08:31:57,08:32:00,花桥,08:32:13,08:32:10
G1050,上海南,08:32:37,08:32:40,松江站,08:32:50,08:32:50
G1050,松江站,08:32:50,08:32:53,花桥,08:33:06,08:33:03
G1051,上海南,08:33:17,08:33:20,花桥,08:33:33,08:33:30
G1052,上海南,08:33:57,08:34:00,松江站,08:34:10,08:34:10
G1052,松江站,08:34:10,08:34:13,花桥,08:34:26,08:34:23
G1053,上海南,08:34:37,08:34:40,花桥,08:34:53,08:34:50
G1054,上海南,08:35:17,08:35:20,松江站,08:35:30,08:35:30
G1054,松江站,08:35:30,08:35:33,花桥,08:35:46,08:35:43
G1055,上海南,08:35:57,08:36:00,花桥,08:36:13,08:36:10
G1056,上海南,08:36:37,08:36:40,松江站,08:36:50,08:36:50
G1056,松江站,08:36:50,08:36:53,花桥,08:37:06,08:37:03
G1057,上海南,08:37:17,08:37:20,花桥,08:37:33,08:37:30
G1058,上海南,08:37:57,08:38:00,松江站,08:38:10,08:38:10
G1058,松江站,08:38:10,08:38:13,花桥,08:38:26,08:38:23
G1059,上海南,08:38:37,08:38:40,花桥,08:38:53,08:38:50
G1060,上海南,08:39:17,08:39:20,松江站,08:39:30,08:39:30
G1060,松江站,08:39:30,08:39:33,花桥,08:39:46,08:39:43
G1061,上海南,08:39:57,08:40:00,花桥,08:40:13,08:40:10
G1062,上海南,08:40:37,08:40:40,松江站,08:40:50,08:40:50
G1062,松江站,08:40:50,08:40:53,花桥,08:41:06,08:41:03
G1063,上海南,08:41:17,08:41:20,花桥,08:41:33,08:41:30
G1064,上海南,08:41:57,08:42:00,松江站,08:42:10,08:42:10
G1064,松江站,08:42:10,08:42:13,花桥,08:42:26,08:42:23
G1065,上海南,08:42:37,08:42:40,花桥,08:42:53,08:42:50
G1066,上海南,08:43:17,08:43:20,松江站,08:43:30,08:43:30
G1066,松江站,08:43:30,08:43:33,花桥,08:43:46,08:43:43
G1067,上海南,08:43:57,08:44:00,花桥,08:44:13,08:44:10
G1068,上海南,08:44:37,08:44:40,松江站,08:44:50,08:44:50
G1068,松江站,08:44:50,08:44:53,花桥,08:45:06,08:45:03
G1069,上海南,08:45:17,08:45:20,花桥,08:45:33,08:45:30
G1070,上海南,08:45:57,08:46:00,松江站,08:46:10,08:46:10
G1070,松江站,08:46:10,08:46:13,花桥,08:46:26,08:46:23
G1071,上海南,08:46:37,08:46:40,花桥,08:46:53,08:46:50
G1072,上海南,08:47:17,08:47:20,松江站,08:47:30,08:47:30
G1072,松江站,08:47:30,08:47:33,花桥,08:47:46,08:47:43
G1073,上海南,08:47:57,08:48:00,花桥,08:48:13,08:48:10
G1074,上海南,08:48:37,08:48:40,松江站,08:48:50,08:48:50
G1074,松江站,08:48:50,08:48:53,花桥,08:49:06,08:49:03
G1075,上海南,08:49:17,08:49:20,花桥,08:49:33,08:49:30
G1076,上海南,08:49:57,08:50:00,松江站,08:50:10,08:50:10
G1076,松江站,08:50:10,08:50:13,花桥,08:50:26,08:50:23
G1077,上海南,08:50:37,08:50:40,花桥,08:50:53,08:50:50
G1078,上海南,08:51:17,08:51:20,松江站,08:51:30,08:51:30
G1078,松江站,08:51:30,08:51:33,花桥,08:51:46,08:51:43
G1079,上海南,08:51:57,08:52:00,花桥,08:52:13,08:52:10
G1080,上海南,08:52:37,08:52:40,松江站,08:52:50,08:52:50
G1080,松江站,08:52:50,08:52:53,花桥,08:53:06,08:53:03
G1081,上海南,08:53:17,08:53:20,花桥,08:53:33,08:53:30
G1082,上海南,08:53:57,08:54:00,松江站,08:54:10,08:54:10
G1082,松江站,08:54:10,08:54:13,花桥,08:54:26,08:54:23
G1083,上海南,08:54:37,08:54:40,花桥,08:54:53,08:54:50
G1084,上海南,08:55:17,08:55:20,松江站,08:55:30,08:55:30
G1084,松江站,08:55:30,08:55:33,花桥,08:55:46,08:55:43
G1085,上海南,08:55:57,08:56:00,花桥,08:56:13,08:56:10
G1086,上海南,08:56:37,08:56:40,松江站,08:56:50,08:56:50
G1086,松江站,08:56:50,08:56:53,花桥,08:57:06,08:57:03
G1087,上海南,08:57:17,08:57:20,花桥,08:57:33,08:57:30
G1088,上海南,08:57:57,08:58:00,松江站,08:58:10,08:58:10
G1088,松江站,08:58:10,08:58:13,花桥,08:58:26,08:58:23
G1089,上海南,08:58:37,08:58:40,花桥,08:58:53,08:58:50
G1090,上海南,08:59:17,08:59:20,松江站,08:59:30,08:59:30
G1090,松江站,08:59:30,08:59:33,花桥,08:59:46,08:59:43
G1091,上海南,08:59:57,09:00:00,花桥,09:00:13,09:00:10
G1092,上海南,09:00:37,09:00:40,松江站,09:00:50,09:00:50
G1092,松江站,09:00:50,09:00:53,花桥,09:01:06,09:01:03
G1093,上海南,09:01:17,09:01:20,花桥,09:01:33,09:01:30
G1094,上海南,09:01:57,09:02:00,松江站,09:02:10,09:02:10
G1094,松江站,09:02:10,09:02:13,花桥,09:02:26,09:02:23
G1095,上海南,09:02:37,09:02:40,花桥,09:02:53,09:02:50
G1096,上海南,09:03:17,09:03:20,松江站,09:03:30,09:03:30
G1096,松江站,09:03:30,09:03:33,花桥,09:03:46,09:03:43
G1097,上海南,09:03:57,09:04:00,花桥,09:04:13,09:04:10
G1098,上海南,09:04:37,09:04:40,松江站,09:04:50,09:04:50
G1098,松江站,09:04:50,09:04:53,花桥,09:05:06,09:05:03
G1099,上海南,09:05:17,09:05:20,花桥,09:05:33,09:05:30
G1100,上海南,09:05:57,09:06:00,松江站,09:06:10,09:06:10
G1100,松江站,09:06:10,09:06:13,花桥,09:06:26,09:06:23
G1101,上海南,09:06:37,09:06:40,花桥,09:06:53,09:06:50
G1102,上海南,09:07:17,09:07:20,松江站,09:07:30,09:07:30
G1102,松江站,09:07:30,09:07:33,花桥,09:07:46,09:07:43
G1103,上海南,09:07:57,09:08:00,花桥,09:08:13,09:08:10
G1104,上海南,09:08:37,09:08:40,松江站,09:08:50,09:08:50
G1104,松江站,09:08:50,09:08:53,花桥,09:09:06,09:09:03
G1105,上海南,09:09:17,09:09:20,花桥,09:09:33,09:09:30
G1106,上海南,09:09:57,09:10:00,松江站,09:10:10,09:10:10
G1106,松江站,09:10:10,09:10:13,花桥,09:10:26,09:10:23
G1107,上海南,09:10:37,09:10:40,花桥,09:10:53,09:10:50
G1108,上海南,09:11:17,09:11:20,松江站,09:11:30,09:11:30
G1108,松江站,09:11:30,09:11:33,花桥,09:11:46,09:11:43
G1109,上海南,09:11:57,09:12:00,花桥,09:12:13,09:12:10
G1110,上海南,09:12:37,09:12:40,松江站,09:12:50,09:12:50
G1110,松江站,09:12:50,09:12:53,花桥,09:13:06,09:13:03
G1111,上海南,09:13:17,09:13:20,花桥,09:13:33,09:13:30
G1112,上海南,09:13:57,09:14:00,松江站,09:14:10,09:14:10
G1112,松江站,09:14:10,09:14:13,花桥,09:14:26,09:14:23
G1113,上海南,09:14:37,09:14:40,花桥,09:14:53,09:14:50
G1114,上海南,09:15:17,09:15:20,松江站,09:15:30,09:15:30
G1114,松江站,09:15:30,09:15:33,花桥,09:15:46,09:15:43
G1115,上海南,09:15:57,09:16:00,花桥,09:16:13,09:16:10
G1116,上海南,09:16:37,09:16:40,松江站,09:16:50,09:16:50
G1116,松江站,09:16:50,09:16:53,花桥,09:17:06,09:17:03
G1117,上海南,09:17:17,09:17:20,花桥,09:17:33,09:17:30
G1118,上海南,09:17:57,09:18:00,松江站,09:18:10,09:18:10
G1118,松江站,09:18:10,09:18:13,花桥,09:18:26,09:18:23
G1119,上海南,09:18:37,09:18:40,花桥,09:18:53,09:18:50
G1120,上海南,09:19:17,09:19:20,松江站,09:19:30,09:19:30
G1120,松江站,09:19:30,09:19:33,花桥,09:19:46,09:19:43
G1121,上海南,09:19:57,09:20:00,花桥,09:20:13,09:20:10
G1122,上海南,09:20:37,09:20:40,松江站,09:20:50,09:20:50
G1122,松江站,09:20:50,09:20:53,花桥,09:21:06,09:21:03
G1123,上海南,09:21:17,09:21:20,花桥,09:21:33,09:21:30
G1124,上海南,09:21:57,09:22:00,松江站,09:22:10,09:22:10
G1124,松江站,09:22:10,09:22:13,花桥,09:22:26,09:22:23
G1125,上海南,09:22:37,09:22:40,花桥,09:22:53,09:22:50
G1126,上海南,09:23:17,09:23:20,松江站,09:23:30,09:23:30
G1126,松江站,09:23:30,09:23:33,花桥,09:23:46,09:23:43
G1127,上海南,09:23:57,09:24:00,花桥,09:24:13,09:24:10
G1128,上海南,09:24:37,09:24:40,松江站,09:24:50,09:24:50
G1128,松江站,09:24:50,09:24:53,花桥,09:25:06,09:25:03
G1129,上海南,09:25:17,09:25:20,花桥,09:25:33,09:25:30
G1130,上海南,09:25:57,09:26:00,松江站,09:26:10,09:26:10
G1130,松江站,09:26:10,09:26:13,花桥,09:26:26,09:26:23
G1131,上海南,09:26:37,09:26:40,花桥,09:26:53,09:26:50
G1132,上海南,09:27:17,09:27:20,松江站,09:27:30,09:27:30
G1132,松江站,09:27:30,09:27:33,花桥,09:27:46,09:27:43
G1133,上海南,09:27:57,09:28:00,花桥,09:28:13,09:28:10
G1134,上海南,09:28:37,09:28:40,松江站,09:28:50,09:28:50
G1134,松江站,09:28:50,09:28:53,花桥,09:29:06,09:29:03
G1135,上海南,09:29:17,09:29:20,花桥,09:29:33,09:29:30
G1136,上海南,09:29:57,09:30:00,松江站,09:30:10,09:30:10
G1136,松江站,09:30:10,09:30:13,花桥,09:30:26,09:30:23
G1137,上海南,09:30:37,09:30:40,花桥,09:30:53,09:30:50
G1138,上海南,09:31:17,09:31:20,松江站,09:31:30,09:31:30
G1138,松江站,09:31:30,09:31:33,花桥,09:31:46,09:31:43
G1139,上海南,09:31:57,09:32:00,花桥,09:32:13,09:32:10
G1140,上海南,09:32:37,09:32:40,松江站,09:32:50,09:32:50
G1140,松江站,09:32:50,09:32:53,花桥,09:33:06,09:33:03
G1141,上海南,09:33:17,09:33:20,花桥,09:33:33,09:33:30
G1142,上海南,09:33:57,09:34:00,松江站,09:34:10,09:34:10
G1142,松江站,09:34:10,09:34:13,花桥,09:34:26,09:34:23
G1143,上海南,09:34:37,09:34:40,花桥,09:34:53,09:34:50
G1144,上海南,09:35:17,09:35:20,松江站,09:35:30,09:35:30
G1144,松江站,09:35:30,09:35:33,花桥,09:35:46,09:35:43
G1145,上海南,09:35:57,09:36:00,花桥,09:36:13,09:36:10
G1146,上海南,09:36:37,09:36:40,松江站,09:36:50,09:36:50
G1146,松江站,09:36:50,09:36:53,花桥,09:37:06,09:37:03
G1147,上海南,09:37:17,09:37:20,花桥,09:37:33,09:37:30
G1148,上海南,09:37:57,09:38:00,松江站,09:38:10,09:38:10
G1148,松江站,09:38:10,09:38:13,花桥,09:38:26,09:38:23
G1149,上海南,09:38:37,09:38:40,花桥,09:38:53,09:38:50
G1150,上海南,09:39:17,09:39:20,松江站,09:39:30,09:39:30
G1150,松江站,09:39:30,09:39:33,花桥,09:39:46,09:39:43
G1151,上海南,09:39:57,09:40:00,花桥,09:40:13,09:40:10
G1152,上海南,09:40:37,09:40:40,松江站,09:40:50,09:40:50
G1152,松江站,09:40:50,09:40:53,花桥,09:41:06,09:41:03
G1153,上海南,09:41:17,09:41:20,花桥,09:41:33,09:41:30
G1154,上海南,09:41:57,09:42:00,松江站,09:42:10,09:42:10
G1154,松江站,09:42:10,09:42:13,花桥,09:42:26,09:42:23
G1155,上海南,09:42:37,09:42:40,花桥,09:42:53,09:42:50
G1156,上海南,09:43:17,09:43:20,松江站,09:43:30,09:43:30
G1156,松江站,09:43:30,09:43:33,花桥,09:43:46,09:43:43
G1157,上海南,09:43:57,09:44:00,花桥,09:44:13,09:44:10
G1158,上海南,09:44:37,09:44:40,松江站,09:44:50,09:44:50
G1158,松江站,09:44:50,09:44:53,花桥,09:45:06,09:45:03
G1159,上海南,09:45:17,09:45:20,花桥,09:45:33,09:45:30
G1160,上海南,09:45:57,09:46:00,松江站,09:46:10,09:46:10
G1160,松江站,09:46:10,09:46:13,花桥,09:46:26,09:46:23
G1161,上海南,09:46:37,09:46:40,花桥,09:46:53,09:46:50
G1162,上海南,09:47:17,09:47:20,松江站,09:47:30,09:47:30
G1162,松江站,09:47:30,09:47:33,花桥,09:47:46,09:47:43
G1163,上海南,09:47:57,09:48:00,花桥,09:48:13,09:48:10
G1164,上海南,09:48:37,09:48:40,松江站,09:48:50,09:48:50
G1164,松江站,09:48:50,09:48:53,花桥,09:49:06,09:49:03
G1165,上海南,09:49:17,09:49:20,花桥,09:49:33,09:49:30
G1166,上海南,09:49:57,09:50:00,松江站,09:50:10,09:50:10
G1166,松江站,09:50:10,09:50:13,花桥,09:50:26,09:50:23
G1167,上海南,09:50:37,09:50:40,花桥,09:50:53,09:50:50
G1168,上海南,09:51:17,09:51:20,松江站,09:51:30,09:51:30
G1168,松江站,09:51:30,09:51:33,花桥,09:51:46,09:51:43
G1169,上海南,09:51:57,09:52:00,花桥,09:52:13,09:52:10
G1170,上海南,09:52:37,09:52:40,松江站,09:52:50,09:52:50
G1170,松江站,09:52:50,09:52:53,花桥,09:53:06,09:53:03
G1171,上海南,09:53:17,09:53:20,花桥,09:53:33,09:53:30
G1172,上海南,09:53:57,09:54:00,松江站,09:54:10,09:54:10
G1172,松江站,09:54:10,09:54:13,花桥,09:54:26,09:54:23
G1173,上海南,09:54:37,09:54:40,花桥,09:54:53,09:54:50
G1174,上海南,09:55:17,09:55:20,松江站,09:55:30,09:55:30
G1174,松江站,09:55:30,09:55:33,花桥,09:55:46,09:55:43
G1175,上海南,09:55:57,09:56:00,花桥,09:56:13,09:56:10
G1176,上海南,09:56:37,09:56:40,松江站,09:56:50,09:56:50
G1176,松江站,09:56:50,09:56:53,花桥,09:57:06,09:57:03
G1177,上海南,09:57:17,09:57:20,花桥,09:57:33,09:57:30
G1178,上海南,09:57:57,09:58:00,松江站,09:58:10,09:58:10
G1178,松江站,09:58:10,09:58:13,花桥,09:58:26,09:58:23
G1179,上海南,09:58:37,09:58:40,花桥,09:58:53,09:58:50
G1180,上海南,09:59:17,09:59:20,松江站,09:59:30,09:59:30
G1180,松江站,09:59:30,09:59:33,花桥,09:59:46,09:59:43
G1181,上海南,09:59:57,10:00:00,花桥,10:00:13,10:00:10
G1182,上海南,10:00:37,10:00:40,松江站,10:00:50,10:00:50
G1182,松江站,10:00:50,10:00:53,花桥,10:01:06,10:01:03
G1183,上海南,10:01:17,10:01:20,花桥,10:01:33,10:01:30
G1184,上海南,10:01:57,10:02:00,松江站,10:02:10,10:02:10
G1184,松江站,10:02:10,10:02:13,花桥,10:02:26,10:02:23
G1185,上海南,10:02:37,10:02:40,花桥,10:02:53,10:02:50
G1186,上海南,10:03:17,10:03:20,松江站,10:03:30,10:03:30
G1186,松江站,10:03:30,10:03:33,花桥,10:03:46,10:03:43
G1187,上海南,10:03:57,10:04:00,花桥,10:04:13,10:04:10
G1188,上海南,10:04:37,10:04:40,松江站,10:04:50,10:04:50
G1188,松江站,10:04:50,10:04:53,花桥,10:05:06,10:05:03
G1189,上海南,10:05:17,10:05:20,花桥,10:05:33,10:05:30
G1190,上海南,10:05:57,10:06:00,松江站,10:06:10,10:06:10
G1190,松江站,10:06:10,10:06:13,花桥,10:06:26,10:06:23
G1191,上海南,10:06:37,10:06:40,花桥,10:06:53,10:06:50
G1192,上海南,10:07:17,10:07:20,松江站,10:07:30,10:07:30
G1192,松江站,10:07:30,10:07:33,花桥,10:07:46,10:07:43
G1193,上海南,10:07:57,10:08:00,花桥,10:08:13,10:08:10
G1194,上海南,10:08:37,10:08:40,松江站,10:08:50,10:08:50
G1194,松江站,10:08:50,10:08:53,花桥,10:09:06,10:09:03
G1195,上海南,10:09:17,10:09:20,花桥,10:09:33,10:09:30
G1196,上海南,10:09:57,10:10:00,松江站,10:10:10,10:10:10
G1196,松江站,10:10:10,10:10:13,花桥,10:10:26,10:10:23
G1197,上海南,10:10:37,10:10:40,花桥,10:10:53,10:10:50
G1198,上海南,10:11:17,10:11:20,松江站,10:11:30,10:11:30
G1198,松江站,10:11:30,10:11:33,花桥,10:11:46,10:11:43
G1199,上海南,10:11:57,10:12:00,花桥,10:12:13,10:12:10
G1200,上海南,10:12:37,10:12:40,松江站,10:12:50,10:12:50
G1200,松江站,10:12:50,10:12:53,花桥,10:13:06,10:13:03
G1201,上海南,10:13:17,10:13:20,花桥,10:13:33,10:13:30
G1202,上海南,10:13:57,10:14:00,松江站,10:14:10,10:14:10
G1202,松江站,10:14:10,10:14:13,花桥,10:14:26,10:14:23
G1203,上海南,10:14:37,10:14:40,花桥,10:14:53,10:14:50
G1204,上海南,10:15:17,10:15:20,松江站,10:15:30,10:15:30
G1204,松江站,10:15:30,10:15:33,花桥,10:15:46,10:15:43
G1205,上海南,10:15:57,10:16:00,花桥,10:16:13,10:16:10
G1206,上海南,10:16:37,10:16:40,松江站,10:16:50,10:16:50
G1206,松江站,10:16:50,10:16:53,花桥,10:17:06,10:17:03
G1207,上海南,10:17:17,10:17:20,花桥,10:17:33,10:17:30
G1208,上海南,10:17:57,10:18:00,松江站,10:18:10,10:18:10
G1208,松江站,10:18:10,10:18:13,花桥,10:18:26,10:18:23
G1209,上海南,10:18:37,10:18:40,花桥,10:18:53,10:18:50
G1210,上海南,10:19:17,10:19:20,松江站,10:19:30,10:19:30
G1210,松江站,10:19:30,10:19:33,花桥,10:19:46,10:19:43
G1211,上海南,10:19:57,10:20:00,花桥,10:20:13,10:20:10
G1212,上海南,10:20:37,10:20:40,松江站,10:20:50,10:20:50
G1212,松江站,10:20:50,10:20:53,花桥,10:21:06,10:21:03
G1213,上海南,10:21:17,10:21:20,花桥,10:21:33,10:21:30
G1214,上海南,10:21:57,10:22:00,松江站,10:22:10,10:22:10
G1214,松江站,10:22:10,10:22:13,花桥,10:22:26,10:22:23
G1215,上海南,10:22:37,10:22:40,花桥,10:22:53,10:22:50
G1216,上海南,10:23:17,10:23:20,松江站,10:23:30,10:23:30
G1216,松江站,10:23:30,10:23:33,花桥,10:23:46,10:23:43
G1217,上海南,10:23:57,10:24:00,花桥,10:24:13,10:24:10
G1218,上海南,10:24:37,10:24:40,松江站,10:24:50,10:24:50
G1218,松江站,10:24:50,10:24:53,花桥,10:25:06,10:25:03
G1219,上海南,10:25:17,10:25:20,花桥,10:25:33,10:25:30
G1220,上海南,10:25:57,10:26:00,松江站,10:26:10,10:26:10
G1220,松江站,10:26:10,10:26:13,花桥,10:26:26,10:26:23
G1221,上海南,10:26:37,10:26:40,花桥,10:26:53,10:26:50
G1222,上海南,10:27:17,10:27:20,松江站,10:27:30,10:27:30
G1222,松江站,10:27:30,10:27:33,花桥,10:27:46,10:27:43
G1223,上海南,10:27:57,10:28:00,花桥,10:28:13,10:28:10
G1224,上海南,10:28:37,10:28:40,松江站,10:28:50,10:28:50
G1224,松江站,10:28:50,10:28:53,花桥,10:29:06,10:29:03
G1225,上海南,10:29:17,10:29:20,花桥,10:29:33,10:29:30
G1226,上海南,10:29:57,10:30:00,松江站,10:30:10,10:30:10
G1226,松江站,10:30:10,10:30:13,花桥,10:30:26,10:30:23
G1227,上海南,10:30:37,10:30:40,花桥,10:30:53,10:30:50
G1228,上海南,10:31:17,10:31:20,松江站,10:31:30,10:31:30
G1228,松江站,10:31:30,10:31:33,花桥,10:31:46,10:31:43
G1229,上海南,10:31:57,10:32:00,花桥,10:32:13,10:32:10
G1230,上海南,10:32:37,10:32:40,松江站,10:32:50,10:32:50
G1230,松江站,10:32:50,10:32:53,花桥,10:33:06,10:33:03
G1231,上海南,10:33:17,10:33:20,花桥,10:33:33,10:33:30
G1232,上海南,10:33:57,10:34:00,松江站,10:34:10,10:34:10
G1232,松江站,10:34:10,10:34:13,花桥,10:34:26,10:34:23
G1233,上海南,10:34:37,10:34:40,花桥,10:34:53,10:34:50
G1234,上海南,10:35:17,10:35:20,松江站,10:35:30,10:35:30
G1234,松江站,10:35:30,10:35:33,花桥,10:35:46,10:35:43
G1235,上海南,10:35:57,10:36:00,花桥,10:36:13,10:36:10
G1236,上海南,10:36:37,10:36:40,松江站,10:36:50,10:36:50
G1236,松江站,10:36:50,10:36:53,花桥,10:37:06,10:37:03
G1237,上海南,10:37:17,10:37:20,花桥,10:37:33,10:37:30
G1238,上海南,10:37:57,10:38:00,松江站,10:38:10,10:38:10
G1238,松江站,10:38:10,10:38:13,花桥,10:38:26,10:38:23
G1239,上海南,10:38:37,10:38:40,花桥,10:38:53,10:38:50
G1240,上海南,10:39:17,10:39:20,松江站,10:39:30,10:39:30
G1240,松江站,10:39:30,10:39:33,花桥,10:39:46,10:39:43
G1241,上海南,10:39:57,10:40:00,花桥,10:40:13,10:40:10
G1242,上海南,10:40:37,10:40:40,松江站,10:40:50,10:40:50
G1242,松江站,10:40:50,10:40:53,花桥,10:41:06,10:41:03
G1243,上海南,10:41:17,10:41:20,花桥,10:41:33,10:41:30
G1244,上海南,10:41:57,10:42:00,松江站,10:42:10,10:42:10
G1244,松江站,10:42:10,10:42:13,花桥,10:42:26,10:42:23
G1245,上海南,10:42:37,10:42:40,花桥,10:42:53,10:42:50
G1246,上海南,10:43:17,10:43:20,松江站,10:43:30,10:43:30
G1246,松江站,10:43:30,10:43:33,花桥,10:43:46,10:43:43
G1247,上海南,10:43:57,10:44:00,花桥,10:44:13,10:44:10
G1248,上海南,10:44:37,10:44:40,松江站,10:44:50,10:44:50
G1248,松江站,10:44:50,10:44:53,花桥,10:45:06,10:45:03
G1249,上海南,10:45:17,10:45:20,花桥,10:45:33,10:45:30
G1250,上海南,10:45:57,10:46:00,松江站,10:46:10,10:46:10
G1250,松江站,10:46:10,10:46:13,花桥,10:46:26,10:46:23
G1251,上海南,10:46:37,10:46:40,花桥,10:46:53,10:46:50
G1252,上海南,10:47:17,10:47:20,松江站,10:47:30,10:47:30
G1252,松江站,10:47:30,10:47:33,花桥,10:47:46,10:47:43
G1253,上海南,10:47:57,10:48:00,花桥,10:48:13,10:48:10
G1254,上海南,10:48:37,10:48:40,松江站,10:48:50,10:48:50
G1254,松江站,10:48:50,10:48:53,花桥,10:49:06,10:49:03
G1255,上海南,10:49:17,10:49:20,花桥,10:49:33,10:49:30
G1256,上海南,10:49:57,10:50:00,松江站,10:50:10,10:50:10
G1256,松江站,10:50:10,10:50:13,花桥,10:50:26,10:50:23
G1257,上海南,10:50:37,10:50:40,花桥,10:50:53,10:50:50
G1258,上海南,10:51:17,10:51:20,松江站,10:51:30,10:51:30
